instruction,cqa family
VCVTTSS2SI,FM_CVT
VCVTTSS2USI,FM_CVT
VCVTUDQ2PD,FM_CVT
VCVTUDQ2PS,FM_CVT
VCVTUQQ2PD,FM_CVT
VCVTUQQ2PS,FM_CVT
VCVTUSI2SD,FM_CVT
VGETEXPPD,FM_CVT
VGETEXPPS,FM_CVT
VGETEXPSD,FM_CVT
VGETEXPSS,FM_CVT
VGETMANTPD,FM_CVT
VGETMANTSD,FM_CVT
VGETMANTSS,FM_CVT
VPACKSSDW,FM_CVT
VPACKSSWB,FM_CVT
VPACKUSDW,FM_CVT
VPACKUSWB,FM_CVT
VPMOVB2M,FM_CVT
VPMOVD2M,FM_CVT
VPMOVDB,FM_CVT
VPMOVDW,FM_CVT
VPMOVM2B,FM_CVT
VPMOVM2D,FM_CVT
VPMOVM2Q,FM_CVT
VPMOVQ2M,FM_CVT
VPMOVQB,FM_CVT
VPMOVQD,FM_CVT
VPMOVQW,FM_CVT
VPMOVSDB,FM_CVT
VPMOVSDW,FM_CVT
VPMOVSQB,FM_CVT
VPMOVSQD,FM_CVT
VPMOVSWB,FM_CVT
VPMOVUSDB,FM_CVT
VPMOVUSDW,FM_CVT
VPMOVUSQD,FM_CVT
VPMOVUSQW,FM_CVT
VPMOVUSWB,FM_CVT
VPMOVW2M,FM_CVT
VPMOVWB,FM_CVT
CQTO,FM_CVT
CVTPS2PD,FM_CVT
CVTTPS2DQ,FM_CVT
PACKSSWB,FM_CVT
PF2IW,FM_CVT
VCVTDQ2PS,FM_CVT
VCVTPS2QQ,FM_CVT
VCVTSS2SD,FM_CVT
VCVTTPS2UQQ,FM_CVT
VCVTUSI2SS,FM_CVT
VGETMANTPS,FM_CVT
VPMOVM2W,FM_CVT
VPMOVSQW,FM_CVT
VPMOVUSQB,FM_CVT
DEC,FM_DEC
DIV,FM_DIV
DIVPD,FM_DIV
DIVPS,FM_DIV
DIVSS,FM_DIV
FDIVP,FM_DIV
FDIVR,FM_DIV
FDIVRP,FM_DIV
FIDIV,FM_DIV
IDIV,FM_DIV
VDIVPD,FM_DIV
VDIVPS,FM_DIV
VDIVSD,FM_DIV
VDIVSS,FM_DIV
DIVSD,FM_DIV
FDIV,FM_DIV
FIDIVR,FM_DIV
PSADBW,FM_DSP
VDBPSADBW,FM_DSP
VMPSADBW,FM_DSP
VPSADBW,FM_DSP
MPSADBW,FM_DSP
BTC,FM_ENV
BTR,FM_ENV
BTS,FM_ENV
CMC,FM_ENV
FCLEX,FM_ENV
FEMMS,FM_ENV
FFREE,FM_ENV
FINIT,FM_ENV
FLDCW,FM_ENV
FLDENV,FM_ENV
FNCLEX,FM_ENV
FNINIT,FM_ENV
FNSAVE,FM_ENV
FNSTCW,FM_ENV
FNSTENV,FM_ENV
FNSTSW,FM_ENV
FRSTOR,FM_ENV
FSAVE,FM_ENV
FSTCW,FM_ENV
FSTENV,FM_ENV
FSTSW,FM_ENV
FWAIT,FM_ENV
FXRSTOR,FM_ENV
FXSAVE,FM_ENV
LAR,FM_ENV
LDMXCSR,FM_ENV
LGDT,FM_ENV
LIDT,FM_ENV
LMSW,FM_ENV
LTR,FM_ENV
RDMSR,FM_ENV
RDPMC,FM_ENV
SIDT,FM_ENV
SLDT,FM_ENV
SMSW,FM_ENV
STAC,FM_ENV
STC,FM_ENV
STD,FM_ENV
STMXCSR,FM_ENV
STR,FM_ENV
SWAPGS,FM_ENV
VERR,FM_ENV
VERW,FM_ENV
VLDMXCSR,FM_ENV
VSTMXCSR,FM_ENV
WRMSR,FM_ENV
XGETBV,FM_ENV
XRSTOR,FM_ENV
XRSTOR64,FM_ENV
XSAVE,FM_ENV
XSAVEOPT,FM_ENV
XSAVEOPT64,FM_ENV
XSETBV,FM_ENV
BT,FM_ENV
LLDT,FM_ENV
SGDT,FM_ENV
XSAVE64,FM_ENV
V4FMADDPS,FM_FMA
V4FNMADDPS,FM_FMA
V4FNMADDSS,FM_FMA
VFMADD132PD,FM_FMA
VFMADD132SD,FM_FMA
VFMADD132SS,FM_FMA
VFMADD213PD,FM_FMA
VFMADD213PS,FM_FMA
VFMADD213SD,FM_FMA
VFMADD213SS,FM_FMA
VFMADD231PD,FM_FMA
VFMADD231PS,FM_FMA
VFMADD231SD,FM_FMA
VFMADDPD,FM_FMA
VFMADDPS,FM_FMA
VFMADDSD,FM_FMA
VFMADDSS,FM_FMA
VFMADDSUB132PD,FM_FMA
VFMADDSUB132PS,FM_FMA
VFMADDSUB213PD,FM_FMA
VFMADDSUB213PS,FM_FMA
VFMADDSUB231PD,FM_FMA
VFMADDSUBPD,FM_FMA
VFMADDSUBPS,FM_FMA
VFMSUB132PD,FM_FMA
VFMSUB132PS,FM_FMA
VFMSUB132SD,FM_FMA
VFMSUB132SS,FM_FMA
VFMSUB213PD,FM_FMA
VFMSUB213PS,FM_FMA
VFMSUB213SD,FM_FMA
VFMSUB231PD,FM_FMA
VFMSUB231PS,FM_FMA
VFMSUB231SD,FM_FMA
VFMSUB231SS,FM_FMA
VFMSUBADD132PD,FM_FMA
VFMSUBADD132PS,FM_FMA
VFMSUBADD213PD,FM_FMA
VFMSUBADD213PS,FM_FMA
VFMSUBADD231PD,FM_FMA
VFMSUBADDPD,FM_FMA
VFMSUBADDPS,FM_FMA
VFMSUBPD,FM_FMA
VFMSUBPS,FM_FMA
VFMSUBSD,FM_FMA
VFMSUBSS,FM_FMA
VFNMADD132PD,FM_FMA
VFNMADD132PS,FM_FMA
VFNMADD132SD,FM_FMA
VFNMADD213PD,FM_FMA
VFNMADD213PS,FM_FMA
VFNMADD213SD,FM_FMA
VFNMADD213SS,FM_FMA
VFNMADD231PD,FM_FMA
VFNMADD231PS,FM_FMA
VFNMADD231SD,FM_FMA
VFNMADD231SS,FM_FMA
VFNMADDPD,FM_FMA
VFNMADDSD,FM_FMA
VFNMADDSS,FM_FMA
VFNMSUB132PD,FM_FMA
VFNMSUB132PS,FM_FMA
VFNMSUB132SD,FM_FMA
VFNMSUB132SS,FM_FMA
VFNMSUB213PD,FM_FMA
VFNMSUB213PS,FM_FMA
VFNMSUB213SD,FM_FMA
VFNMSUB231PD,FM_FMA
VFNMSUB231PS,FM_FMA
VFNMSUB231SD,FM_FMA
VFNMSUB231SS,FM_FMA
VFNMSUBPD,FM_FMA
VFNMSUBPS,FM_FMA
VFNMSUBSD,FM_FMA
VFNMSUBSS,FM_FMA
V4FMADDSS,FM_FMA
VFMADD132PS,FM_FMA
VFMADD231SS,FM_FMA
VFMADDSUB231PS,FM_FMA
VFMSUB213SS,FM_FMA
VFMSUBADD231PS,FM_FMA
VFNMADD132SS,FM_FMA
VFNMADDPS,FM_FMA
VFNMSUB213SS,FM_FMA
VP4DPWSSD,FM_FMA
VGATHERDPD,FM_GATHER
VGATHERDPS,FM_GATHER
VGATHERQPD,FM_GATHER
VGATHERQPS,FM_GATHER
VPGATHERDD,FM_GATHER
VPGATHERDQ,FM_GATHER
VPGATHERQD,FM_GATHER
VPGATHERQQ,FM_GATHER
CRC32,FM_HASH
CLFLUSHOPT,FM_HW
INVD,FM_HW
INVEPT,FM_HW
INVLPG,FM_HW
INVPCID,FM_HW
LFENCE,FM_HW
MFENCE,FM_HW
PAUSE,FM_HW
PTWRITE,FM_HW
SFENCE,FM_HW
WAIT,FM_HW
WBINVD,FM_HW
CLFLUSH,FM_HW
INVVPID,FM_HW
IN,FM_IN
INS,FM_IN
REP_INS,FM_IN
INC,FM_INC
CPUID,FM_INFO
LSL,FM_INFO
RDTSC,FM_INFO
RDTSCP,FM_INFO
JMP,FM_JUMP
LJMP,FM_JUMP
LEA,FM_LEA
LFS,FM_LOAD
LGS,FM_LOAD
RDFSBASE,FM_LOAD
RDGSBASE,FM_LOAD
WRFSBASE,FM_LOAD
WRGSBASE,FM_LOAD
XLAT,FM_LOAD
LDDQU,FM_LOAD
LSS,FM_LOAD
LOOP,FM_LOOP
LOOPE,FM_LOOP
LOOPNE,FM_LOOP
LOOPNZ,FM_LOOP
LOOPZ,FM_LOOP
MOVMSKPS,FM_MASK
PMOVMSKB,FM_MASK
VMOVMSKPD,FM_MASK
VMOVMSKPS,FM_MASK
VPMOVMSKB,FM_MASK
MOVMSKPD,FM_MASK
MAXPD,FM_MAX
MAXPS,FM_MAX
MAXSD,FM_MAX
MAXSS,FM_MAX
PFMAX,FM_MAX
PMAXSB,FM_MAX
PMAXSD,FM_MAX
PMAXSW,FM_MAX
PMAXUB,FM_MAX
PMAXUD,FM_MAX
PMAXUW,FM_MAX
VMAXPD,FM_MAX
VMAXPS,FM_MAX
VMAXSD,FM_MAX
VMAXSS,FM_MAX
VPMAXSB,FM_MAX
VPMAXSD,FM_MAX
VPMAXSQ,FM_MAX
VPMAXUB,FM_MAX
VPMAXUD,FM_MAX
VPMAXUQ,FM_MAX
VPMAXUW,FM_MAX
VPMAXSW,FM_MAX
BEXTR,FM_MERGE
BLENDPD,FM_MERGE
BLENDPS,FM_MERGE
BLENDVPD,FM_MERGE
BLENDVPS,FM_MERGE
BLSI,FM_MERGE
EXTRACTPS,FM_MERGE
INSERTPS,FM_MERGE
KUNPCKBW,FM_MERGE
KUNPCKDQ,FM_MERGE
KUNPCKWD,FM_MERGE
PALIGNR,FM_MERGE
PBLENDVB,FM_MERGE
PBLENDW,FM_MERGE
PEXTRB,FM_MERGE
PEXTRD,FM_MERGE
PEXTRQ,FM_MERGE
PEXTRW,FM_MERGE
PINSRB,FM_MERGE
PINSRD,FM_MERGE
PINSRQ,FM_MERGE
PUNPCKHBW,FM_MERGE
PUNPCKHDQ,FM_MERGE
PUNPCKHQDQ,FM_MERGE
PUNPCKLBW,FM_MERGE
PUNPCKLDQ,FM_MERGE
PUNPCKLQDQ,FM_MERGE
PUNPCKLWD,FM_MERGE
UNPCKHPD,FM_MERGE
UNPCKHPS,FM_MERGE
UNPCKLPD,FM_MERGE
UNPCKLPS,FM_MERGE
VALIGND,FM_MERGE
VALIGNQ,FM_MERGE
VBLENDMPD,FM_MERGE
VBLENDMPS,FM_MERGE
VBLENDPD,FM_MERGE
VBLENDPS,FM_MERGE
VBLENDVPD,FM_MERGE
VBLENDVPS,FM_MERGE
VCOMPRESSPD,FM_MERGE
VCOMPRESSPS,FM_MERGE
VEXPANDPD,FM_MERGE
VEXPANDPS,FM_MERGE
VEXTRACTF128,FM_MERGE
VEXTRACTF32X4,FM_MERGE
VEXTRACTF32X8,FM_MERGE
VEXTRACTF64X2,FM_MERGE
VEXTRACTF64X4,FM_MERGE
VEXTRACTI128,FM_MERGE
VEXTRACTI32X8,FM_MERGE
VEXTRACTI64X2,FM_MERGE
VEXTRACTI64X4,FM_MERGE
VEXTRACTPS,FM_MERGE
VINSERTF128,FM_MERGE
VINSERTF32X4,FM_MERGE
VINSERTF32X8,FM_MERGE
VINSERTF64X4,FM_MERGE
VINSERTI128,FM_MERGE
VINSERTI32X4,FM_MERGE
VINSERTI32X8,FM_MERGE
VINSERTI64X2,FM_MERGE
VINSERTI64X4,FM_MERGE
VINSERTPS,FM_MERGE
VPALIGNR,FM_MERGE
VPBLENDD,FM_MERGE
VPBLENDMB,FM_MERGE
VPBLENDMD,FM_MERGE
VPBLENDMQ,FM_MERGE
VPBLENDVB,FM_MERGE
VPBLENDW,FM_MERGE
VPCOMPRESSD,FM_MERGE
VPCOMPRESSQ,FM_MERGE
VPEXPANDQ,FM_MERGE
VPEXTRB,FM_MERGE
VPEXTRD,FM_MERGE
VPEXTRQ,FM_MERGE
VPEXTRW,FM_MERGE
VPINSRB,FM_MERGE
VPINSRD,FM_MERGE
VPINSRQ,FM_MERGE
VPUNPCKHBW,FM_MERGE
VPUNPCKHDQ,FM_MERGE
VPUNPCKHQDQ,FM_MERGE
VPUNPCKHWD,FM_MERGE
VPUNPCKLBW,FM_MERGE
VPUNPCKLDQ,FM_MERGE
VPUNPCKLQDQ,FM_MERGE
VPUNPCKLWD,FM_MERGE
VUNPCKHPD,FM_MERGE
VUNPCKHPS,FM_MERGE
VUNPCKLPD,FM_MERGE
VUNPCKLPS,FM_MERGE
FXTRACT,FM_MERGE
PINSRW,FM_MERGE
PUNPCKHWD,FM_MERGE
VEXTRACTI32X4,FM_MERGE
VINSERTF64X2,FM_MERGE
VPBLENDMW,FM_MERGE
VPEXPANDD,FM_MERGE
VPINSRW,FM_MERGE
MINPS,FM_MIN
MINSD,FM_MIN
MINSS,FM_MIN
PFMIN,FM_MIN
PHMINPOSUW,FM_MIN
PMINSB,FM_MIN
PMINSW,FM_MIN
PMINUB,FM_MIN
PMINUD,FM_MIN
PMINUW,FM_MIN
VMINPS,FM_MIN
VMINSD,FM_MIN
VMINSS,FM_MIN
VPHMINPOSUW,FM_MIN
VPMINSB,FM_MIN
VPMINSD,FM_MIN
VPMINSQ,FM_MIN
VPMINSW,FM_MIN
VPMINUB,FM_MIN
VPMINUQ,FM_MIN
VPMINUW,FM_MIN
